,0
OPTICIANS OPTICAL GOODS EYEGLASSES,40
MENS-WOMENS-CHILDRENS UNIFORMS-COMMERCIAL CLOTH,471
ALTERATIONS MENDING SEAMSTRESSES TAILORS,17
ATTORNEYS LEGAL SERVICES,24
DEBT MARRIAGE PERSONAL-COUNSELING SERVICE,12
WOMENS READY TO WEAR STORES,17
DAIRY PRODUCTS STORES,67
RECORD SHOPS,142
VETERINARY SERVICES,204
CATERERS,163
NEWS DEALERS AND NEWSSTANDS,297
CANDY NUT CONFECTIONERY STORES,29
QUICK COPY REPRODUCTION AND BLUEPRINTING SERVICES,156
COMPUTER NETWORK-INFORMATION SERVICES,271
CAR RENTAL,346
ACCOUNTING AUDITING AND BOOKKEEPING SERVICES,29
FABRIC NEEDLEWORK PIECE GOODS AND SEWING STORES,191
VIDEO ENTERTAINMENT RENTAL STORES,10
THEATRICAL PRODUCERSEXCL MOTION PIX TICKET AGNCY,133
AGRICULTURAL COOPERATIVES,235
GAME TOY AND HOBBY SHOPS,93
LANDSCAPING AND HORTICULTURAL SERVICES,115
CONSUMER CREDIT REPORTING AGENCIES,26
TOWING SERVICES,37
AMUSEMENT PARKS CARNIVALS CIRCUS FORTUNE TELLERS,92
PIECE GOODS NOTIONS AND OTHER DRY GOODS,13
PETROLEUM AND PETROLEUM PRODUCTS,143
FLOOR COVERING STORES,42
VIDEO AMUSEMENT GAME SUPPLIES,25
OPTOMETRISTS OPHTHALMOLOGISTS,87
GENERAL CONTRACTORS-RESIDENTIAL BUILDINGS,197
ART DEALERS AND GALLERIES,29
MISCELLANEOUS REPAIR SHOPS AND RELATED SERVICES,572
CAMPER DEALERS RECREATIONAL AND UTILITY TRAILERS,113
CONCRETE WORK CONTRACTORS,31
PHOTO DEVELOPING PHOTOFINISHING LABORATORIES,73
CLUBS-CNTRY MBRSHIPATHLET REC SPRTS PRIVATE GOLF,26
BAKERIES,200
BICYCLE SHOPS-SALES AND SERVICE,18
MENS AND BOYS CLOTHING AND ACCESSORIES STORES,19
BANDS ORCHESTRAS MISC ENTRTNRS-NOT ELSWHR CLAS,22
CAR WASHES,115
ELECTRICAL CONTRACTORS,53
PHOTOGRAPHIC STUDIOS,23
COMMERCIAL ART GRAPHICS PHOTOGRAPHY,101
BARBER AND BEAUTY SHOPS,8
MUSIC STORES-INSTRUMENTS PIANOS SHEET MUSIC,95
MOBILE HOME DEALERS,11
METAL SERVICE CENTERS AND OFFICES,50
AQUARIUMS DOLPHINARIUMS AND SEAQUARIUMS,19
COURT COSTS INCLUDING ALIMONY AND CHILD SUPPORT,53
FINES,15
FREEZER LOCKER MEAT PROVISIONERS,32
SWIMMING POOLS - SALES AND SUPPLIES,38
MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS,122
FLORISTS,61
COMPUTER MAIN-REPAIR-SERVICES NOT ELSEWHERE CLASS,143
ATHLTIC FIELDS COMMRCL SPRT SPRT CLBS SPRT PROMOTR,13
CHILD CARE SERVICES,15
APPLICATIONS - EXCLUDES GAMES,18
ARCHITECTURAL ENGINEERING AND SURVEYING SERVICES,19
WELDING REPAIR,53
DENTISTS ORTHODONTISTS,15
PRECIOUS STONES AND METALS WATCHES AND JEWELRY,6
CHILDRENS AND INFANTS WEAR STORES,6
FIREPLACE FIREPLACE SCREENS ACCESSORIES STORES,7
BAR LOUNGE DISCO NIGHTCLUB TAVERN-ALCOHOLIC DRINKS,28
MOTION PICTURE-VIDEO TAPE PRODUCTION-DISTRIBUTION,49
DRUGS DRUP PROPRIETARIES AND DRUGGISTS SUPPLIES,12
FLORIST SUPPLIES NURSERY STOCK FLOWERS,23
WOMENS ACCESSORY AND SPECIALTY STORES,15
SCHOOLS TRADE AND VOCATIONAL,9
VIDEO GAME ARCADES-ESTABLISHMENTS,20
SCHOOLS ELEMENTARY AND SECONDARY,37
AUTOMOTIVE BODY REPAIR SHOPS,31
ELECTRICAL AND SMALL APPLIANCE REPAIR SHOPS,47
TYPESETTING PLATE MAKING RELATED SERVICES,15
AMBULANCE SERVICES,2
BUYING-SHOPPING CLUBS SERVICES,5
SECOND HAND STORES USED MERCHANDISE STORES,24
HEARING AIDS-SALES SERVICE SUPPLY STORES,15
AUTOGRAPH,14
ANTIQUE SHOPS-SALES REPAIRS RESTORATION SERVICES,26
TESTING LABORATORIES NON-MEDICAL,42
MENS AND WOMENS CLOTHING STORES,147
DRAPERY UPOLSTERY AND WINDOW COVERINGS STORES,37
SCHOOLS BUSINESS AND SECRETARIAL,22
ORTHOPEDIC GOODS-ARTIFICIAL LIMB STORES,8
SALVAGE AND WRECKING YARDS,2
AUTOMOBILE AND TRUCK DEALERS-USED ONLY-SALES,10
TIRE RETREADING AND REPAIR SHOPS,2
COMMERCIAL FOOTWEAR,17
CARPET AND UPHOLSTERY CLEANING,12
FUNERAL SERVICE AND CREMATORIES,6
LAUNDRY SERVICES - FAMILY AND COMMERICAL,1
ROOFING AND SIDING SHEET METAL WORK CONTRACTORS,19
STAMP COIN STORES-PHILATELIC NUMISMATIC SUPPLY,1
SCHOOLS CORRESPONDENCE,2
TAX PREPARATION SERVICE,1
NURSING AND PERSONAL CARE FACILITIES,5
DUTY FREE STORES,5
